首字母,等级,歌名,歌手,类型,技能,爆点,bar,box,开头描述,结尾描述,分数,指数
H,6,"Here With You","Asher Book",超极限,爆气,428,77,25,B - 一轨单点（cool）、三轨单点,B - 二轨长条中间、三轨长条中间,1212026,39 - 0.1
H,6,"Here With You","Asher Book",超极限,爆气,428,77,26,B - 一轨单点（cool）、三轨单点,B - 二轨长条中间、三轨长条中间,1212026,39 - 0.1
T,6,"Timber","Pitbull",非押爆,爆气,506,75,28,B - 四轨单点,B - 一轨长条结尾、四轨单点,1401771,47 - 0.2
T,6,"Timber","Pitbull",非押爆,爆气,504,75,20,B - 三轨单点,B - 二轨长条左滑、四轨单点,1400711,47 - 0.4
T,6,"Timber","Pitbull",非押爆,爆气,505,75,24,B - 四轨单点,B - 一轨长条中间,1398589,46 + 0.2
T,6,"Timber","Pitbull",非押爆,爆气,505,75,22,B - 四轨单点,B - 一轨长条中间,1396998,46 - 0.1
T,6,"Timber","Pitbull",押爆,爆气,505,75,24,B - 四轨单点,B - 一轨长条结尾、四轨单点,1407075,48 - 0.2
T,6,"Timber","Pitbull",押爆,爆气,503,75,16,B - 二轨单点,B - 二轨长条左滑、四轨单点,1406015,48 - 0.4
T,6,"Timber","Pitbull",押爆,爆气,504,75,20,B - 三轨单点,B - 一轨长条中间,1403893,47 + 0.2
T,6,"Timber","Pitbull",押爆,爆气,504,75,18,B - 三轨单点,B - 一轨长条中间,1402302,47 - 0.1
T,6,"Timber","Pitbull",超极限,爆气,505,75,23,B - 三轨单点（cool）、四轨单点,B - 一轨长条结尾、四轨单点,1407195,49 - 0.2
T,6,"Timber","Pitbull",超极限,爆气,505,75,24,B - 三轨单点（cool）、四轨单点,B - 一轨长条结尾、四轨单点,1407195,49 - 0.2
T,6,"Timber","Pitbull",超极限,爆气,503,75,15,B - 二轨单点,B - 二轨长条左滑、四轨单点,1406015,48 - 0.4
T,6,"Timber","Pitbull",超极限,爆气,504,75,19,B - 二轨单点（cool）、三轨单点,B - 一轨长条中间、四轨单点（cool）,1404133,49 + 0.2
T,6,"Timber","Pitbull",超极限,爆气,504,75,20,B - 二轨单点（cool）、三轨单点,B - 一轨长条中间、四轨单点（cool）,1404133,49 + 0.2
